{'loss': 0.7839, 'grad_norm': 7.343708515167236, 'learning_rate': 5e-06, 'epoch': 0.0}
{'loss': 0.7309, 'grad_norm': 4.405344009399414, 'learning_rate': 4.991666666666667e-06, 'epoch': 0.0}
{'loss': 0.6441, 'grad_norm': 4.351408004760742, 'learning_rate': 4.983333333333334e-06, 'epoch': 0.01}
{'loss': 0.7925, 'grad_norm': 6.044317722320557, 'learning_rate': 4.975000000000001e-06, 'epoch': 0.01}
{'loss': 0.5884, 'grad_norm': 3.9588463306427, 'learning_rate': 4.966666666666667e-06, 'epoch': 0.01}
{'loss': 0.6478, 'grad_norm': 3.8494904041290283, 'learning_rate': 4.958333333333334e-06, 'epoch': 0.01}
{'loss': 0.6104, 'grad_norm': 3.5924909114837646, 'learning_rate': 4.95e-06, 'epoch': 0.01}
{'loss': 0.6421, 'grad_norm': 3.47381854057312, 'learning_rate': 4.941666666666667e-06, 'epoch': 0.02}
{'loss': 0.6178, 'grad_norm': 3.860018491744995, 'learning_rate': 4.933333333333334e-06, 'epoch': 0.02}
{'loss': 0.5562, 'grad_norm': 3.6502842903137207, 'learning_rate': 4.925e-06, 'epoch': 0.02}
{'loss': 0.5932, 'grad_norm': 4.099850654602051, 'learning_rate': 4.9166666666666665e-06, 'epoch': 0.02}
{'loss': 0.6217, 'grad_norm': 4.094392776489258, 'learning_rate': 4.9083333333333335e-06, 'epoch': 0.02}
{'loss': 0.5515, 'grad_norm': 4.778857231140137, 'learning_rate': 4.9000000000000005e-06, 'epoch': 0.03}
{'loss': 0.5438, 'grad_norm': 4.033926963806152, 'learning_rate': 4.8916666666666675e-06, 'epoch': 0.03}
{'loss': 0.3255, 'grad_norm': 1.876595377922058, 'learning_rate': 4.883333333333334e-06, 'epoch': 0.03}
{'loss': 0.4387, 'grad_norm': 2.2390995025634766, 'learning_rate': 4.875e-06, 'epoch': 0.03}
{'loss': 0.2947, 'grad_norm': 1.974057674407959, 'learning_rate': 4.866666666666667e-06, 'epoch': 0.03}
{'loss': 0.3414, 'grad_norm': 1.7715659141540527, 'learning_rate': 4.858333333333334e-06, 'epoch': 0.04}
{'loss': 0.2153, 'grad_norm': 1.3676064014434814, 'learning_rate': 4.85e-06, 'epoch': 0.04}
