[gkd] resuming from checkpoints/phase2_distill/checkpoint-100
{'loss': 0.5532, 'grad_norm': 5.026948928833008, 'learning_rate': 0.0, 'epoch': 0.2}
{'loss': 0.498, 'grad_norm': 4.450250625610352, 'learning_rate': 6.633333333333333e-07, 'epoch': 0.2}
{'loss': 0.5692, 'grad_norm': 4.936802387237549, 'learning_rate': 6.6e-07, 'epoch': 0.21}
{'loss': 0.6076, 'grad_norm': 5.019937515258789, 'learning_rate': 6.566666666666666e-07, 'epoch': 0.21}
{'loss': 0.5659, 'grad_norm': 5.228444576263428, 'learning_rate': 6.533333333333333e-07, 'epoch': 0.21}
{'loss': 0.5064, 'grad_norm': 6.004342079162598, 'learning_rate': 6.5e-07, 'epoch': 0.21}
{'loss': 0.5419, 'grad_norm': 4.809682369232178, 'learning_rate': 6.466666666666666e-07, 'epoch': 0.21}
{'loss': 0.4825, 'grad_norm': 4.158310890197754, 'learning_rate': 6.433333333333332e-07, 'epoch': 0.22}
{'loss': 0.4282, 'grad_norm': 3.2477214336395264, 'learning_rate': 6.4e-07, 'epoch': 0.22}
{'loss': 0.5762, 'grad_norm': 3.9307618141174316, 'learning_rate': 6.366666666666667e-07, 'epoch': 0.22}
{'loss': 0.4825, 'grad_norm': 4.304635524749756, 'learning_rate': 6.333333333333332e-07, 'epoch': 0.22}
{'loss': 0.3952, 'grad_norm': 3.28094744682312, 'learning_rate': 6.3e-07, 'epoch': 0.22}
{'loss': 0.5872, 'grad_norm': 3.800265312194824, 'learning_rate': 6.266666666666667e-07, 'epoch': 0.23}
{'loss': 0.4854, 'grad_norm': 2.814706325531006, 'learning_rate': 6.233333333333332e-07, 'epoch': 0.23}
{'loss': 0.5283, 'grad_norm': 3.0401864051818848, 'learning_rate': 6.2e-07, 'epoch': 0.23}
{'loss': 0.5724, 'grad_norm': 3.134962797164917, 'learning_rate': 6.166666666666667e-07, 'epoch': 0.23}
{'loss': 0.5969, 'grad_norm': 3.2174971103668213, 'learning_rate': 6.133333333333332e-07, 'epoch': 0.23}
{'loss': 0.4917, 'grad_norm': 3.450152635574341, 'learning_rate': 6.1e-07, 'epoch': 0.24}
{'loss': 0.5297, 'grad_norm': 3.60534405708313, 'learning_rate': 6.066666666666666e-07, 'epoch': 0.24}
{'loss': 0.5651, 'grad_norm': 3.43845534324646, 'learning_rate': 6.033333333333333e-07, 'epoch': 0.24}
{'loss': 0.5587, 'grad_norm': 2.901402711868286, 'learning_rate': 6e-07, 'epoch': 0.24}
{'loss': 0.5231, 'grad_norm': 3.1943280696868896, 'learning_rate': 5.966666666666666e-07, 'epoch': 0.24}
{'loss': 0.478, 'grad_norm': 3.7202956676483154, 'learning_rate': 5.933333333333334e-07, 'epoch': 0.25}
{'loss': 0.5933, 'grad_norm': 3.2496697902679443, 'learning_rate': 5.9e-07, 'epoch': 0.25}
{'loss': 0.5712, 'grad_norm': 4.156116008758545, 'learning_rate': 5.866666666666666e-07, 'epoch': 0.25}
{'loss': 0.5121, 'grad_norm': 3.4111170768737793, 'learning_rate': 5.833333333333334e-07, 'epoch': 0.25}
{'loss': 0.4478, 'grad_norm': 2.0162694454193115, 'learning_rate': 5.8e-07, 'epoch': 0.25}
{'loss': 0.4988, 'grad_norm': 2.8918263912200928, 'learning_rate': 5.766666666666666e-07, 'epoch': 0.26}
{'loss': 0.3599, 'grad_norm': 1.6152422428131104, 'learning_rate': 5.733333333333334e-07, 'epoch': 0.26}
{'loss': 0.5635, 'grad_norm': 2.932450294494629, 'learning_rate': 5.699999999999999e-07, 'epoch': 0.26}
{'loss': 0.5493, 'grad_norm': 3.3809640407562256, 'learning_rate': 5.666666666666666e-07, 'epoch': 0.26}
{'loss': 0.3879, 'grad_norm': 2.2981064319610596, 'learning_rate': 5.633333333333334e-07, 'epoch': 0.26}
{'loss': 0.3471, 'grad_norm': 2.3595635890960693, 'learning_rate': 5.6e-07, 'epoch': 0.27}
{'loss': 0.401, 'grad_norm': 2.427077054977417, 'learning_rate': 5.566666666666666e-07, 'epoch': 0.27}
{'loss': 0.2744, 'grad_norm': 1.6013661623001099, 'learning_rate': 5.533333333333334e-07, 'epoch': 0.27}
{'loss': 0.327, 'grad_norm': 2.2436578273773193, 'learning_rate': 5.5e-07, 'epoch': 0.27}
{'loss': 0.3423, 'grad_norm': 2.2286999225616455, 'learning_rate': 5.466666666666666e-07, 'epoch': 0.27}
{'loss': 0.364, 'grad_norm': 1.9570081233978271, 'learning_rate': 5.433333333333334e-07, 'epoch': 0.28}
